system:index,date,rainfall_max,rainfall_mean,rainfall_min,temperature_max,temperature_mean,temperature_min,.geo
117,1990-10,937.9680023,238.3705257,25.20080709,300.5992523,297.7033506,290.0415773,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,1990-11,802.9090033,299.7179929,0,300.3186736,297.2628054,289.4832678,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,1990-12,625.992157,113.5189328,0,300.6572329,296.6466319,288.1361292,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,1991-01,483.908432,91.25350611,0,300.3613736,296.469722,287.887074,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,1991-02,417.4829893,82.58617465,0,300.7897281,296.6683252,288.0306774,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,1991-03,388.3455353,97.73374937,0,301.6638744,297.4020316,289.0215851,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,1991-04,371.4083138,82.42861979,0,302.3861182,298.5429547,290.5460439,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,1991-05,570.4588432,170.6584556,0,303.0811024,299.0707171,291.2930847,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,1991-06,684.9551468,212.7410617,16.24288332,303.9900925,299.0641495,291.2203876,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,1991-07,905.6881495,346.5038625,69.06712508,301.91851,298.3360771,290.5888362,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,1991-08,1338.635308,361.7357221,19.85851169,301.0397908,298.1135833,290.7440919,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,1991-09,978.5721283,214.9440919,26.27826881,301.3780106,298.0909745,290.5942921,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,1991-10,715.2101555,246.3500872,41.71678257,300.7752671,297.5625597,290.0108181,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,1991-11,749.0004959,186.9579709,0,300.7797124,297.0098988,288.6796826,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,1991-12,508.3418579,81.42140957,0,300.9795398,296.4614113,287.4916208,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,1992-01,289.2324495,58.49343895,0,301.1944205,296.1444995,286.9387581,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,1992-02,169.943615,37.22482025,0,301.5770475,296.6995546,288.0214227,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,1992-03,165.1408997,40.04282343,0,302.6579467,297.884988,289.090535,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,1992-04,189.5024977,52.267856,0,302.9460782,299.1161021,290.5770379,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,1992-05,522.5954342,146.8235612,10.32472467,302.4331123,299.2192471,290.8582923,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,1992-06,568.6251135,216.2512811,44.57511258,302.0275957,298.7895529,291.2097572,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,1992-07,845.837791,290.8338314,48.52397108,300.6727063,297.914137,290.299284,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,1992-08,1359.91818,331.8915997,48.18934774,301.2134977,298.1995685,290.6979068,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,1992-09,1208.62363,316.2425548,42.90909719,301.4858334,298.1132766,290.5452789,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,1992-10,618.9646294,283.0724126,48.12455034,300.8042428,297.4775356,289.8339046,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,1992-11,660.2958145,152.620386,0,299.9974443,296.6241266,288.186675,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,1992-12,831.1165514,149.0157371,0,299.9532779,296.5774051,288.2235626,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,1993-01,608.7370806,82.53180545,0,300.3027519,296.1447785,286.8656325,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,1993-02,741.301899,120.1635103,0,300.3357325,296.2958674,287.3945036,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,1993-03,414.9426851,100.4070755,0,300.6041604,296.9714869,289.0205803,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,1993-04,575.6810622,100.8747783,0,302.1673603,298.3791683,290.5237188,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,1993-05,341.7348957,96.14346964,0,303.4561384,299.4285931,291.4176902,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,1993-06,625.0326319,191.4455202,18.6650598,302.6613671,298.9199924,291.1133392,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,1993-07,911.3113613,319.9822913,24.40946913,301.5629682,298.2136701,290.5645407,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,1993-08,1185.985023,332.602475,40.38267493,300.8067439,297.8817348,290.2329794,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,1993-09,760.6032972,268.8542557,25.42006922,300.432183,297.7491934,290.3344264,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,1993-10,1026.202342,333.7889674,83.45582557,300.752763,297.5653515,289.8568903,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,1993-11,925.407855,276.8558196,11.55513191,300.5738625,297.5854042,289.4007777,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,1993-12,1067.728104,344.618695,2.80E-07,300.1700534,296.8000612,288.3666208,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,1994-01,665.3411636,136.4118927,0,299.9826278,296.4218737,287.9027807,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,1994-02,330.9471369,77.92762746,0,300.3641022,296.8835694,288.7039517,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,1994-03,703.0040545,161.306922,0,301.3166415,297.5075876,289.1089461,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,1994-04,772.6593685,183.6533496,0,302.48065,298.6164204,290.8428272,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,1994-05,572.7302666,212.6162063,49.36280346,301.6297903,298.7195155,291.3052434,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,1994-06,959.426898,277.1184186,22.77568829,301.804864,298.1961553,290.6646297,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,1994-07,1444.377138,431.1325372,29.74830699,300.9119643,297.896197,290.4875429,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,1994-08,827.615592,275.1935425,53.812446,301.0658612,298.1185956,290.2896778,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,1994-09,858.390007,288.5189237,67.06281376,300.5230599,297.5859584,290.3125863,"{""type"":""MultiPoint"",""coordinates"":[]}"
